Principal;TimeStamp;Rule;Support;Confidence;Lift;Count;
35636034000151;2013;{04613668000165} => {35636034000151};0,01092347;0,725;46,56663;174;
04613668000165;2013;{35636034000151} => {04613668000165};0,01092347;0,7016129;46,56663;174;
05120923000109;2013;{04613668000165} => {05120923000109};0,01117459;0,7416667;39,11923;178;
04613668000165;2013;{05120923000109} => {04613668000165};0,01117459;0,589404;39,11923;178;
05120923000109;2013;{35636034000151} => {05120923000109};0,01217904;0,7822581;41,26023;194;
35636034000151;2013;{05120923000109} => {35636034000151};0,01217904;0,6423841;41,26023;194;
35636034000151;2013;{07832586000108} => {35636034000151};0,01305794;0,5135802;32,98718;208;
05120923000109;2013;{06064175000149} => {05120923000109};0,01261849;0,7671756;40,4647;201;
06064175000149;2013;{05120923000109} => {06064175000149};0,01261849;0,6655629;40,4647;201;
06064175000149;2013;{07832586000108} => {06064175000149};0,01487852;0,5851852;35,57792;237;
05120923000109;2013;{07832586000108} => {05120923000109};0,01657355;0,6518519;34,38195;264;
10868000000161;2013;{00731434000161} => {10868000000161};0,0114257;0,5;16,02515;182;
00482840000138;2013;{09611589000139} => {00482840000138};0,01042124;0,5092025;15,53848;166;
05120923000109;2013;{07832586000108, 35636034000151} => {05120923000109};0,01067236;0,8173077;43,10892;170;
35636034000151;2013;{05120923000109, 07832586000108} => {35636034000151};0,01067236;0,6439394;41,36012;170;
05120923000109;2013;{06064175000149, 07832586000108} => {05120923000109};0,01148848;0,7721519;40,72718;183;
06064175000149;2013;{05120923000109, 07832586000108} => {06064175000149};0,01148848;0,6931818;42,14387;183;
08658622000113;2014;{13338681000144} => {08658622000113};0,01627431;0,7341598;18,567156;533;
12349852000178;2014;{55741110000104} => {12349852000178};0,01667125;0,6114222;17,959361;546;
11098524000183;2014;{03213418000175} => {11098524000183};0,01044243;0,6923077;31,579066;342;
15724019000158;2014;{10807978000113} => {15724019000158};0,01126683;0,7817797;14,929484;369;
16403724000116;2014;{10807978000113} => {16403724000116};0,01047296;0,7266949;11,712591;343;
11098524000183;2014;{19142596000192} => {11098524000183};0,01230497;0,7490706;34,168262;403;
12349852000178;2014;{17930162000121} => {12349852000178};0,01395377;0,7019969;20,619822;457;
10636507000190;2014;{15022662000130} => {10636507000190};0,0114195;0,9973333;81,65916;374;
06957510000138;2014;{03961467000196} => {06957510000138};0,01438124;0,9936709;68,657627;471;
11098524000183;2014;{06022999000156} => {11098524000183};0,01157217;0,6707965;30,597848;379;
11098524000183;2014;{11036658000170} => {11098524000183};0,01184697;0,7475915;34,100794;388;
16403724000116;2014;{10752963000103} => {16403724000116};0,01239657;0,5087719;8,200192;406;
67718783000114;2014;{12134879000143} => {67718783000114};0,0103203;0,5777778;28,498193;338;
15724019000158;2014;{06268094000160} => {15724019000158};0,01148057;0,504698;9,638113;376;
16403724000116;2014;{05488204000137} => {16403724000116};0,01065616;0,6155203;9,920721;349;
10942831000136;2014;{18166571000166} => {10942831000136};0,0110531;0,5924714;15,73725;362;
15724019000158;2014;{04567265000127} => {15724019000158};0,01328204;0,6682028;12,76053;435;
16403724000116;2014;{04567265000127} => {16403724000116};0,01300724;0,6543779;10,547013;426;
15724019000158;2014;{10434081000191} => {15724019000158};0,01227443;0,5095057;9,729925;402;
92823764000103;2014;{18912500000165} => {92823764000103};0,0117859;0,5302198;14,854772;386;
10278886000193;2014;{79053468000102} => {10278886000193};0,01056456;0,53149;16,883443;346;
15724019000158;2014;{79053468000102} => {15724019000158};0,01303777;0,655914;12,525853;427;
16403724000116;2014;{79053468000102} => {16403724000116};0,01239657;0,6236559;10,051848;406;
15724019000158;2014;{10986234000103} => {15724019000158};0,01496138;0,6824513;13,03263;490;
16403724000116;2014;{10986234000103} => {16403724000116};0,01480871;0,6754875;10,887249;485;
15724019000158;2014;{04762679000107} => {15724019000158};0,01511404;0,6799451;12,98477;495;
16403724000116;2014;{04762679000107} => {16403724000116};0,01444231;0,6497253;10,472024;473;
16403724000116;2014;{08459500000106} => {16403724000116};0,01444231;0,6409214;10,330127;473;
16403724000116;2014;{11094173000132} => {16403724000116};0,0115111;0,5643713;9,09632;377;
15724019000158;2014;{10278886000193} => {15724019000158};0,01795365;0,5703201;10,891284;588;
16403724000116;2014;{10278886000193} => {16403724000116};0,02085433;0,6624636;10,677336;683;
16403724000116;2014;{15724019000158} => {16403724000116};0,03199902;0,6110787;9,849133;1048;
15724019000158;2014;{16403724000116} => {15724019000158};0,03199902;0,515748;9,849133;1048;
15724019000158;2014;{06177718000134} => {15724019000158};0,03486916;0,5554475;10,607265;1142;
16403724000116;2014;{06177718000134} => {16403724000116};0,04250252;0,6770428;10,912317;1392;
11098524000183;2014;{18543917000106, 19142596000192} => {11098524000183};0,0102287;0,8354115;38,106631;335;
11098524000183;2014;{03983817000115, 18543917000106} => {11098524000183};0,01007603;0,6521739;29,748395;330;
15724019000158;2014;{04567265000127, 06177718000134} => {15724019000158};0,01038136;0,7423581;14,176659;340;
16403724000116;2014;{04567265000127, 06177718000134} => {16403724000116};0,01090043;0,779476;12,563296;357;
15724019000158;2014;{06177718000134, 79053468000102} => {15724019000158};0,0103203;0,7477876;14,280345;338;
16403724000116;2014;{06177718000134, 79053468000102} => {16403724000116};0,01062563;0,7699115;12,40914;348;
16403724000116;2014;{10986234000103, 15724019000158} => {16403724000116};0,01102256;0,7367347;11,874408;361;
15724019000158;2014;{10986234000103, 16403724000116} => {15724019000158};0,01102256;0,7443299;14,214314;361;
15724019000158;2014;{06177718000134, 10986234000103} => {15724019000158};0,0123355;0,7509294;14,340343;404;
16403724000116;2014;{06177718000134, 10986234000103} => {16403724000116};0,0123355;0,7509294;12,103193;404;
16403724000116;2014;{04762679000107, 15724019000158} => {16403724000116};0,01093096;0,7232323;11,656782;358;
15724019000158;2014;{04762679000107, 16403724000116} => {15724019000158};0,01093096;0,756871;14,45381;358;
15724019000158;2014;{04762679000107, 06177718000134} => {15724019000158};0,0124271;0,746789;14,261275;407;
16403724000116;2014;{04762679000107, 06177718000134} => {16403724000116};0,0122439;0,7357798;11,859018;401;
16403724000116;2014;{06177718000134, 08459500000106} => {16403724000116};0,0114195;0,8077754;13,019415;374;
16403724000116;2014;{06177718000134, 10828286000151} => {16403724000116};0,01193857;0,7804391;12,57882;391;
16403724000116;2014;{10278886000193, 15724019000158} => {16403724000116};0,01355684;0,755102;12,170446;444;
15724019000158;2014;{10278886000193, 16403724000116} => {15724019000158};0,01355684;0,6500732;12,414313;444;
15724019000158;2014;{06177718000134, 10278886000193} => {15724019000158};0,01483924;0,6621253;12,644471;486;
16403724000116;2014;{06177718000134, 10278886000193} => {16403724000116};0,01706818;0,7615804;12,274862;559;
15724019000158;2014;{05207424000145, 06177718000134} => {15724019000158};0,01102256;0,5766773;11,012687;361;
16403724000116;2014;{05207424000145, 06177718000134} => {16403724000116};0,01319044;0,6900958;11,122701;432;
16403724000116;2014;{06177718000134, 15724019000158} => {16403724000116};0,02564807;0,7355517;11,855341;840;
15724019000158;2014;{06177718000134, 16403724000116} => {15724019000158};0,02564807;0,6034483;11,523927;840;
16403724000116;2014;{00761025000108, 15724019000158} => {16403724000116};0,0133431;0,6892744;11,109462;437;
15724019000158;2014;{00761025000108, 16403724000116} => {15724019000158};0,0133431;0,5772787;11,024172;437;
15724019000158;2014;{00761025000108, 06177718000134} => {15724019000158};0,01468657;0,6166667;11,776356;481;
16403724000116;2014;{06177718000134, 09058708000178} => {16403724000116};0,01175537;0,7291667;11,75243;385;
16403724000116;2014;{00761025000108, 06177718000134} => {16403724000116};0,01697658;0,7128205;11,488969;556;
16403724000116;2014;{06177718000134, 10278886000193, 15724019000158} => {16403724000116};0,0118775;0,8004115;12,900727;389;
15724019000158;2014;{06177718000134, 10278886000193, 16403724000116} => {15724019000158};0,0118775;0,6958855;13,289182;389;
16403724000116;2014;{00761025000108, 06177718000134, 15724019000158} => {16403724000116};0,0111447;0,7588358;12,230625;365;
15724019000158;2014;{00761025000108, 06177718000134, 16403724000116} => {15724019000158};0,0111447;0,6564748;12,536564;365;
01151850000153;2015;{71443667000107} => {01151850000153};0,01068822;0,5929752;32,166809;287;
01151850000153;2015;{12925007000101} => {01151850000153};0,01020408;0,5982533;32,453125;274;
08658622000113;2015;{04418934000107} => {08658622000113};0,01027856;0,7022901;16,284882;276;
08658622000113;2015;{13338681000144} => {08658622000113};0,01258752;0,7176221;16,640404;338;
07245458000150;2015;{05075962000123} => {07245458000150};0,01128408;0,7163121;24,691157;303;
08658622000113;2015;{18641075000117} => {08658622000113};0,01340682;0,7142857;16,56304;360;
06957510000138;2015;{03961467000196} => {06957510000138};0,0141144;1;70,663158;379;
20483193000196;2015;{10759101000102} => {20483193000196};0,01068822;0,6768868;9,986684;287;
16403724000116;2015;{13303039000120} => {16403724000116};0,01079994;0,5482042;9,846407;290;
67718783000114;2015;{12134879000143} => {67718783000114};0,01232683;0,5963964;30,503688;331;
15724019000158;2015;{04567265000127} => {15724019000158};0,0113958;0,6428571;15,481614;306;
16403724000116;2015;{04567265000127} => {16403724000116};0,01113511;0,6281513;11,282353;299;
20483193000196;2015;{05530834000122} => {20483193000196};0,01441233;0,645;9,516231;387;
16403724000116;2015;{07055987000190} => {16403724000116};0,01184269;0,5221675;9,378757;318;
16403724000116;2015;{08459500000106} => {16403724000116};0,01359303;0,6541219;11,748816;365;
20483193000196;2015;{12068781000135} => {20483193000196};0,01407716;0,6247934;9,218106;378;
15724019000158;2015;{10986234000103} => {15724019000158};0,01567853;0,6757624;16,274057;421;
16403724000116;2015;{10986234000103} => {16403724000116};0,01545509;0,6661316;11,964526;415;
20483193000196;2015;{92823764000103} => {20483193000196};0,01359303;0,5676516;8,375045;365;
15724019000158;2015;{10278886000193} => {15724019000158};0,01187993;0,5316667;12,803868;319;
16403724000116;2015;{10278886000193} => {16403724000116};0,01467302;0,6566667;11,794524;394;
20483193000196;2015;{11094173000132} => {20483193000196};0,01072546;0,5464896;8,062823;288;
16403724000116;2015;{11094173000132} => {16403724000116};0,01098615;0,5597723;10,054184;295;
20483193000196;2015;{06324611000171} => {20483193000196};0,01255028;0,5208655;7,68477;337;
20483193000196;2015;{12957821000108} => {20483193000196};0,01843438;0,5409836;7,981589;495;
16403724000116;2015;{10752963000103} => {16403724000116};0,01832266;0,5610034;10,076297;492;
20483193000196;2015;{10942831000136} => {20483193000196};0,0259571;0,7207859;10,634365;697;
15724019000158;2015;{06177718000134} => {15724019000158};0,02763295;0,5131397;12,357692;742;
16403724000116;2015;{15724019000158} => {16403724000116};0,02543572;0,6125561;11,002244;683;
16403724000116;2015;{06177718000134} => {16403724000116};0,03776255;0,7012448;12,595201;1014;
16403724000116;2015;{06177718000134, 08459500000106} => {16403724000116};0,01113511;0,8470255;15,213598;299;
15724019000158;2015;{06177718000134, 10986234000103} => {15724019000158};0,01262476;0,7228145;17,407188;339;
16403724000116;2015;{10986234000103, 15724019000158} => {16403724000116};0,01124683;0,7173397;12,884284;302;
15724019000158;2015;{10986234000103, 16403724000116} => {15724019000158};0,01124683;0,7277108;17,525105;302;
16403724000116;2015;{06177718000134, 10986234000103} => {16403724000116};0,01366751;0,782516;14,054929;367;
16403724000116;2015;{06177718000134, 10278886000193} => {16403724000116};0,01173097;0,7875;14,144448;315;
20483193000196;2015;{10596399000179, 12957821000108} => {20483193000196};0,01072546;0,7254408;10,703042;288;
15724019000158;2015;{06177718000134, 10752963000103} => {15724019000158};0,01072546;0,6605505;15,907714;288;
16403724000116;2015;{10752963000103, 15724019000158} => {16403724000116};0,0113958;0,8668555;15,569769;306;
15724019000158;2015;{10752963000103, 16403724000116} => {15724019000158};0,0113958;0,6219512;14,978147;306;
16403724000116;2015;{06177718000134, 10752963000103} => {16403724000116};0,01400268;0,8623853;15,489479;376;
16403724000116;2015;{00761025000108, 10752963000103} => {16403724000116};0,01243855;0,5738832;10,307633;334;
20483193000196;2015;{10596399000179, 10942831000136} => {20483193000196};0,0113958;0,8337875;12,301572;306;
20483193000196;2015;{00761025000108, 10942831000136} => {20483193000196};0,01344406;0,7813853;11,528438;361;
16403724000116;2015;{06177718000134, 19225144000174} => {16403724000116};0,01206614;0,7807229;14,022723;324;
16403724000116;2015;{00761025000108, 19225144000174} => {16403724000116};0,01169373;0,5;8,980602;314;
16403724000116;2015;{06177718000134, 15724019000158} => {16403724000116};0,02074333;0,7506739;13,483006;557;
15724019000158;2015;{06177718000134, 16403724000116} => {15724019000158};0,02074333;0,5493097;13,228756;557;
15724019000158;2015;{00761025000108, 06177718000134} => {15724019000158};0,01471026;0,5524476;13,304324;395;
16403724000116;2015;{00761025000108, 15724019000158} => {16403724000116};0,0145613;0,6593592;11,842885;391;
15724019000158;2015;{00761025000108, 16403724000116} => {15724019000158};0,0145613;0,5124509;12,341103;391;
16403724000116;2015;{06177718000134, 13961486000176} => {16403724000116};0,0132951;0,7777778;13,969825;357;
16403724000116;2015;{06177718000134, 10596399000179} => {16403724000116};0,01389096;0,7754678;13,928335;373;
16403724000116;2015;{00761025000108, 06177718000134} => {16403724000116};0,01966334;0,7384615;13,263658;528;
16403724000116;2015;{06177718000134, 10986234000103, 15724019000158} => {16403724000116};0,01005512;0,7964602;14,305384;270;
15724019000158;2015;{06177718000134, 10986234000103, 16403724000116} => {15724019000158};0,01005512;0,7356948;17,717379;270;
16403724000116;2015;{00761025000108, 06177718000134, 15724019000158} => {16403724000116};0,01165649;0,7924051;14,232549;313;
15724019000158;2015;{00761025000108, 06177718000134, 16403724000116} => {15724019000158};0,01165649;0,592803;14,276186;313;
01151850000153;2016;{21263301000188} => {01151850000153};0,01037853;0,6962025;32,194203;275;
01151850000153;2016;{71443667000107} => {01151850000153};0,01139752;0,6637363;30,692879;302;
00482840000138;2016;{06205427000102} => {00482840000138};0,01086915;0,6530612;19,912731;288;
08573956000194;2016;{14801463000167} => {08573956000194};0,01226554;0,5909091;21,507305;325;
00482840000138;2016;{14801463000167} => {00482840000138};0,01158622;0,5581818;17,019728;307;
08573956000194;2016;{15121468000101} => {08573956000194};0,01343548;0,5705128;20,764943;356;
00482840000138;2016;{15121468000101} => {00482840000138};0,01207684;0,5128205;15,6366;320;
08691984000106;2016;{16701048000167} => {08691984000106};0,0122278;1;81,780864;324;
06957510000138;2016;{03961467000196} => {06957510000138};0,01158622;0,9903226;84,920963;307;
08658622000113;2016;{10463704000154} => {08658622000113};0,01102012;0,6806527;15,206791;292;
08573956000194;2016;{08398304000160} => {08573956000194};0,02592746;0,9842407;35,823387;687;
00482840000138;2016;{08398304000160} => {00482840000138};0,01430351;0,5429799;16,556202;379;
00482840000138;2016;{08573956000194} => {00482840000138};0,01490735;0,5425824;16,544081;395;
08658622000113;2016;{13338681000144} => {08658622000113};0,01702079;0,6721311;15,016407;451;
03655629000168;2016;{10752963000103} => {03655629000168};0,01011435;0,5677966;12,992147;268;
11464383000175;2016;{17356181000196} => {11464383000175};0,01653017;0,6636364;6,488698;438;
11464383000175;2016;{18912500000165} => {11464383000175};0,01034079;0,5982533;5,849416;274;
08658622000113;2016;{21042594000173} => {08658622000113};0,01188814;0,5130293;11,461836;315;
08658622000113;2016;{20784313000195} => {08658622000113};0,01422803;0,5626866;12,571253;377;
15724019000158;2016;{10278886000193} => {15724019000158};0,01045401;0,5337187;13,229134;277;
11464383000175;2016;{14676091000194} => {11464383000175};0,01603955;0,6478659;6,334502;425;
11464383000175;2016;{14811522000188} => {11464383000175};0,0139261;0,5182584;5,067267;369;
15724019000158;2016;{06177718000134} => {15724019000158};0,01249198;0,5619694;13,929377;331;
03655629000168;2016;{04567265000127} => {03655629000168};0,0127939;0,5120846;11,717362;339;
15724019000158;2016;{04567265000127} => {15724019000158};0,01381288;0,5528701;13,703834;366;
15724019000158;2016;{10986234000103} => {15724019000158};0,01509605;0,5847953;14,495156;400;
24845457000165;2016;{11094173000132} => {24845457000165};0,01169944;0,5218855;8,211639;310;
11464383000175;2016;{03217016000149} => {11464383000175};0,01581311;0,5166461;5,051503;419;
24845457000165;2016;{20795155000179} => {24845457000165};0,02555006;0,5665272;8,914056;677;
11464383000175;2016;{15567891000130} => {11464383000175};0,0357399;0,6983776;6,82838;947;
08573956000194;2016;{08398304000160, 14801463000167} => {08573956000194};0,0120391;0,9906832;36,057876;319;
08573956000194;2016;{08398304000160, 15121468000101} => {08573956000194};0,01286938;0,9855491;35,87101;341;
00482840000138;2016;{08398304000160, 08573956000194} => {00482840000138};0,01419029;0,5473071;16,688144;376;
08573956000194;2016;{00482840000138, 08398304000160} => {08573956000194};0,01419029;0,9920844;36,108875;376;
24845457000165;2016;{17473920000120, 20795155000179} => {24845457000165};0,01037853;0,6440281;10,133499;275;
20795155000179;2016;{17473920000120, 24845457000165} => {20795155000179};0,01037853;0,6278539;13,921543;275;
24845457000165;2016;{11464383000175, 20795155000179} => {24845457000165};0,01041627;0,5822785;9,161896;276;
11464383000175;2016;{15567891000130, 24845457000165} => {11464383000175};0,01192588;0,7006652;6,850747;316;
08573956000194;2017;{08398304000160} => {08573956000194};0,01065606;0,9503546;83,280204;268;
01151850000153;2017;{21263301000188} => {01151850000153};0,01141153;0,7493473;30,895219;287;
08676370000155;2017;{16553940000148} => {08676370000155};0,01013917;0,8415842;48,881851;255;
01151850000153;2017;{12925007000101} => {01151850000153};0,01180915;0,7261614;29,939276;297;
01151850000153;2017;{71443667000107} => {01151850000153};0,01347913;0,7197452;29,674742;339;
08676370000155;2017;{44734671000151} => {08676370000155};0,01049702;0,6550868;38,049502;264;
44734671000151;2017;{08676370000155} => {44734671000151};0,01049702;0,6096998;38,049502;264;
07768887000101;2017;{44734671000151} => {07768887000101};0,01180915;0,7369727;37,218601;297;
44734671000151;2017;{07768887000101} => {44734671000151};0,01180915;0,5963855;37,218601;297;
00482840000138;2017;{07548828000128} => {00482840000138};0,01089463;0,7425474;20,91273;274;
07768887000101;2017;{08676370000155} => {07768887000101};0,01363817;0,7921478;40,005055;343;
08676370000155;2017;{07768887000101} => {08676370000155};0,01363817;0,688755;40,005055;343;
23312871000146;2017;{08676370000155} => {23312871000146};0,01351889;0,7852194;29,921618;340;
08676370000155;2017;{23312871000146} => {08676370000155};0,01351889;0,5151515;29,921618;340;
23312871000146;2017;{07768887000101} => {23312871000146};0,01324056;0,6686747;25,480559;333;
07768887000101;2017;{23312871000146} => {07768887000101};0,01324056;0,5045455;25,480559;333;
01151850000153;2017;{55741110000104} => {01151850000153};0,01141153;0,544592;22,453262;287;
08658622000113;2017;{26469541000157} => {08658622000113};0,01077535;0,57173;15,561697;271;
13777884000137;2017;{13734839000103} => {13777884000137};0,01073559;0,7803468;34,310704;270;
13734839000103;2017;{13777884000137} => {13734839000103};0,01073559;0,472028;34,310704;270;
22065938000122;2017;{07586061000121} => {22065938000122};0,01105368;0,8348348;9,613597;278;
08691984000106;2017;{16701048000167} => {08691984000106};0,01224652;0,9777778;79,326165;308;
08658622000113;2017;{14968227000130} => {08658622000113};0,0100994;0,5657016;15,397613;254;
22065938000122;2017;{14968227000130} => {22065938000122};0,01013917;0,5679287;6,540022;255;
06957510000138;2017;{03961467000196} => {06957510000138};0,01403579;0,9887955;70,249173;353;
22065938000122;2017;{10378106000187} => {22065938000122};0,01093439;0,5268199;6,066631;275;
22065938000122;2017;{05530834000122} => {22065938000122};0,01180915;0,6470588;7,45125;297;
22065938000122;2017;{11175931000147} => {22065938000122};0,01212724;0,4911433;5,655794;305;
22065938000122;2017;{19910840000110} => {22065938000122};0,01149105;0,7429306;8,555268;289;
22065938000122;2017;{69194934000108} => {22065938000122};0,01069583;0,5163148;5,945658;269;
22065938000122;2017;{27210985000136} => {22065938000122};0,01125249;0,5;5,757784;283;
15724019000158;2017;{10278886000193} => {15724019000158};0,0104175;0,5634409;12,663573;262;
22065938000122;2017;{24830144000133} => {22065938000122};0,01129225;0,5126354;5,903287;284;
22065938000122;2017;{21548780000189} => {22065938000122};0,01658052;0,6682692;7,6955;417;
22065938000122;2017;{19717870000104} => {22065938000122};0,01534791;0,589313;6,786274;386;
22065938000122;2017;{18498728000150} => {22065938000122};0,01383698;0,4490323;5,170861;348;
22065938000122;2017;{17247878000129} => {22065938000122};0,01491054;0,4067245;4,683664;375;
22065938000122;2017;{12957821000108} => {22065938000122};0,01705765;0,6374443;7,340533;429;
22065938000122;2017;{10942831000136} => {22065938000122};0,02640159;0,8289638;9,545989;664;
08658622000113;2017;{20784313000195} => {08658622000113};0,0189662;0,6662011;18,133072;477;
20784313000195;2017;{08658622000113} => {20784313000195};0,0189662;0,5162338;18,133072;477;
22065938000122;2017;{20784313000195} => {22065938000122};0,01363817;0,4790503;5,516536;343;
03655629000168;2017;{04567265000127} => {03655629000168};0,0139165;0,4623514;11,388969;350;
15724019000158;2017;{04567265000127} => {15724019000158};0,01658052;0,5508587;12,380782;417;
03655629000168;2017;{07734851000107} => {03655629000168};0,01256461;0,4401114;10,841138;316;
15724019000158;2017;{07734851000107} => {15724019000158};0,01407555;0,4930362;11,081198;354;
22065938000122;2017;{12130958000186} => {22065938000122};0,01375746;0,4346734;5,005511;346;
22065938000122;2017;{92823764000103} => {22065938000122};0,02131213;0,6988266;8,047385;536;
22065938000122;2017;{08658622000113} => {22065938000122};0,01749503;0,4761905;5,483604;440;
22065938000122;2017;{14676091000194} => {22065938000122};0,02075547;0,5426195;6,248572;522;
22065938000122;2017;{06324611000171} => {22065938000122};0,0240159;0,7006961;8,068913;604;
22065938000122;2017;{03217016000149} => {22065938000122};0,0189662;0,468106;5,390506;477;
15724019000158;2017;{03655629000168} => {15724019000158};0,0222664;0,5484819;12,327363;560;
03655629000168;2017;{15724019000158} => {03655629000168};0,0222664;0,5004468;12,327363;560;
23312871000146;2017;{07768887000101, 08676370000155} => {23312871000146};0,0111332;0,8163265;31,106988;280;
07768887000101;2017;{08676370000155, 23312871000146} => {07768887000101};0,0111332;0,8235294;41,589889;280;
08676370000155;2017;{07768887000101, 23312871000146} => {08676370000155};0,0111332;0,8408408;48,838677;280;
22065938000122;2017;{06324611000171, 10942831000136} => {22065938000122};0,01129225;0,8958991;10,316786;284;
10942831000136;2017;{06324611000171, 22065938000122} => {10942831000136};0,01129225;0,4701987;14,763417;284;
22065938000122;2017;{10942831000136, 14517117000151} => {22065938000122};0,012167;0,8947368;10,303403;306;
22065938000122;2017;{09058708000178, 10942831000136} => {22065938000122};0,01180915;0,8709677;10,029688;297;
08658622000113;2017;{09071136000167, 20784313000195} => {08658622000113};0,0100994;0,7720365;21,013763;254;
20784313000195;2017;{08658622000113, 09071136000167} => {20784313000195};0,0100994;0,5948478;20,894443;254;
22065938000122;2017;{08658622000113, 20784313000195} => {22065938000122};0,01025845;0,5408805;6,228546;258;
08658622000113;2017;{20784313000195, 22065938000122} => {08658622000113};0,01025845;0,7521866;20,473477;258;
20784313000195;2017;{08658622000113, 22065938000122} => {20784313000195};0,01025845;0,5863636;20,596432;258;
22065938000122;2017;{14517117000151, 92823764000103} => {22065938000122};0,01045726;0,7492877;8,628474;263;
22065938000122;2017;{09058708000178, 92823764000103} => {22065938000122};0,01176938;0,7648579;8,807773;296;
22065938000122;2017;{09058708000178, 14676091000194} => {22065938000122};0,01395626;0,585;6,736607;351;
22065938000122;2017;{06324611000171, 14517117000151} => {22065938000122};0,01220676;0,7292162;8,397338;307;
22065938000122;2017;{06324611000171, 09058708000178} => {22065938000122};0,01387674;0,7064777;8,135492;349;
22065938000122;2017;{03217016000149, 14517117000151} => {22065938000122};0,01021869;0,5840909;6,726138;257;
22065938000122;2017;{03217016000149, 09058708000178} => {22065938000122};0,01180915;0,5541045;6,380828;297;
15724019000158;2017;{03655629000168, 08772301000145} => {15724019000158};0,01137177;0,6327434;14,221176;286;
03655629000168;2017;{08772301000145, 15724019000158} => {03655629000168};0,01137177;0,5267035;12,974136;286;
15724019000158;2017;{03655629000168, 14517117000151} => {15724019000158};0,01176938;0,6651685;14,949945;296;
03655629000168;2017;{14517117000151, 15724019000158} => {03655629000168};0,01176938;0,5451197;13,427777;296;
15724019000158;2017;{08772301000145, 14517117000151} => {15724019000158};0,01232604;0,4068241;9,143545;310;
22065938000122;2017;{09058708000178, 14517117000151} => {22065938000122};0,01713718;0,4994206;5,751112;431;
29136844000146;2018;{14272952000179} => {29136844000146};0,0108421;0,8913043;81,764561;369;
00482840000138;2018;{21746218000160} => {00482840000138};0,0138391;0,5640719;21,449856;471;
21746218000160;2018;{00482840000138} => {21746218000160};0,0138391;0,526257;21,449856;471;
11163447000106;2018;{01424128000145} => {11163447000106};0,01859905;0,9363905;42,379143;633;
20784313000195;2018;{08658622000113} => {20784313000195};0,0108421;0,5482912;22,56414;369;
23312871000146;2019;{8676370000155} => {23312871000146};0,01040795;0,5544554;32,4266035;112;
29136844000146;2019;{14272952000179} => {29136844000146};0,01096552;0,9833333;89,675;118;
11163447000106;2019;{1424128000145} => {11163447000106};0,01505436;0,9418605;48,2636213;162;
20483193000196;2019;{29843035000174} => {20483193000196};0,01300994;0,625;9,7331766;140;
20483193000196;2019;{17473920000120} => {20483193000196};0,01217359;0,6787565;10,5703306;131;
15153524000190;2019;{3217016000149} => {15153524000190};0,0108726;0,3087071;12,4887119;117;
20483193000196;2019;{15153524000190} => {20483193000196};0,01115138;0,4511278;7,0254507;120;
15153524000190;2019;{20483193000196} => {15153524000190};0,01115138;0,1736614;7,0254507;120;
20483193000196;2019;{27210985000136} => {20483193000196};0,01273116;0,5;7,7865412;137;
11464383000175;2019;{14517117000151} => {11464383000175};0,01115138;0,2684564;6,4918181;120;
20483193000196;2019;{11464383000175} => {20483193000196};0,01217359;0,294382;4,5844355;131;
11464383000175;2019;{20483193000196} => {11464383000175};0,01217359;0,1895803;4,5844355;131;
20483193000196;2019;{3217016000149} => {20483193000196};0,01756342;0,4986807;7,7659963;